lat,lng
-6.0049,-52.3549
-14.0995,-58.7788
-5.9995,-53.7278
-5.9997,-53.7264
-6.0041,-52.3507
-14.1430,-58.3710
-6.0034,-52.3464
-16.0738,-53.9820
-16.0739,-53.9863
-16.0693,-53.9830
-6.5847,-51.4006
-16.0694,-53.9873
-6.5837,-51.3937
-6.5828,-51.3867
-8.9643,-68.6245
-8.9908,-68.3369
-9.0133,-68.6934
-9.0417,-68.2106
-9.0523,-68.4671
-9.0541,-68.4630
-10.2832,-50.2526
-10.2838,-50.2778
-10.2828,-50.2726
-10.5438,-50.4404
-11.1114,-49.7604
-11.1120,-49.6669
-11.1125,-49.7659
-3.5100,-48.9400
-18.9100,-49.9100
-14.7230,-59.8140
-9.9720,-54.1560
-9.9740,-54.1650
-14.7800,-58.8990
-14.7820,-58.9130
-9.9750,-54.1750
-10.2920,-50.2900
-10.3010,-50.2730
-2.4170,-57.1030
-16.9560,-55.9530
-8.7350,-54.5730
-9.7500,-64.2030
-10.2620,-49.7690
-10.2650,-49.7860
-16.9540,-55.8700
-10.2770,-49.7840
-10.2890,-50.2750
-16.9540,-55.9430
-5.5200,-48.4300
-22.5200,-48.2300
-22.0910,-45.2000
-5.4110,-45.0070
-20.8490,-44.6480
-20.2400,-45.7470
-5.6900,-47.8400
-5.4000,-44.9900
-8.1200,-45.1000
-3.6700,-40.3900
-3.6700,-40.4400
-16.5400,-49.1300
-12.8900,-52.9700
-12.8900,-52.9900
-12.8700,-52.9700
-5.9200,-46.8100
-7.1500,-46.0300
-9.0700,-49.8200
-10.0200,-48.4000
-9.1100,-46.9600
-8.8700,-51.1100
-10.0400,-48.3400
-15.7123,-59.7375
-15.6430,-59.8286
-7.2457,-59.6315
-7.2461,-59.6284
-10.4736,-56.3465
-10.4728,-56.3526
-10.4498,-56.8632
-14.7722,-56.7295
-9.4024,-64.7461
-15.5739,-56.9494
-16.7809,-57.5507
-7.1500,-46.0100
-16.7200,-53.0900
-8.0400,-45.5000
-6.7200,-44.0400
-12.1600,-47.3900
-7.1500,-46.0300
-4.2800,-48.2400
-8.0500,-45.5200
-8.3900,-48.8200
-6.8800,-46.6500
-4.9100,-48.5700
-8.0700,-47.1300
-7.1500,-46.0300
-8.0734,-34.9785
-10.6125,-67.9335
-17.0047,-58.1796
-16.8214,-57.9262
-16.8991,-56.1155
-21.4326,-46.8910
-16.5277,-49.1311
-21.4290,-46.8551
-8.9613,-45.0183
-4.4768,-54.9343
-8.9607,-45.0229
-21.4319,-46.8661
-7.4251,-44.7870
-17.1219,-56.4411
-16.9313,-56.1036
-4.4742,-54.9730
-16.5462,-49.1173
-22.0290,-46.6408
-21.4271,-46.8582
-16.9290,-56.1192
-17.0131,-58.1699
-16.9296,-56.1153
-16.9302,-56.1114
